#,Date,Agent,Map,w,l,result,Rank,Queue Type,K,D,A,ADR,HS%,KAST,FK,FD,MK's,Link:
1,5/19/2023,Raze,Lotus,15,13,Win,Silver 1,1,35,16,6,206.6,6%,82%,6,2,7,Raze 35 - Lotus
2,8/26/2023,Jett,Pearl,15,17,Loss,Gold 2,5,31,20,1,167.2,16%,72%,3,1,2,Jett 31 - Pearl
3,8/30/2023,Astra,Lotus,19,17,Win,Gold 2,3,36,23,7,167.4,11%,78%,6,0,3,Astra 36 - Lotus
4,11/28/2023,Harbor,Ascent,13,8,Win,Plat 2,5,31,9,5,225.2,16%,86%,2,0,3,Harbor 31 - Ascent
5,11/28/2023,Jett,Bind,13,11,Win,Plat 2,5,32,13,2,206.4,9%,88%,6,1,4,Jett 32 - Bind
6,1/11/2023,Astra,Split,13,11,Win,Gold 1,5,32,12,4,220.1,7%,88%,5,0,3,Astra 32 - Split
7,2/11/2024,Astra,Split,13,15,Loss,Plat 2,3,32,17,7,210.9,16%,82%,3,1,2,Astra 32 - Split [#2]
8,3/8/2024,Neon,Icebox,13,10,Win,Plat 1,1,30,13,3,199.8,23%,83%,0,3,5,Neon 30 - Icebox
9,3/16/2024,Yoru,Breeze,23,21,Win,Plat 2,1,35,32,16,168.6,12%,77%,6,8,3,Yoru 35 - Breeze
10,4/1/2024,Clove,Bind,15,13,Win,Plat 2,5,32,22,3,176.1,8%,82%,7,2,4,Clove 32 - Bind
11,5/7/2024,Omen,Ascent,9,13,Loss,Plat 3,5,30,17,11,235.1,27%,91%,6,0,2,Omen 30 - Ascent
12,5/18/2024,Raze,Icebox,14,12,Win,Diamond 1,5,30,16,6,217.5,18%,81%,5,1,3,Raze 30 - Icebox
13,8/4/2024,Clove,Lotus,15,17,Loss,Plat 3,5,30,23,10,197.9,24%,69%,4,3,4,Clove 30 - Lotus
14,8/9/2024,Sova,Haven,14,16,Loss,Plat 3,5,33,20,10,216.4,32%,90%,5,1,5,Sova 33 - Haven
15,8/22/2024,Clove,Sunset,13,11,Win,Plat 3,5,31,23,16,257.7,17%,79%,4,3,5,Clove 31 - Sunset
16,8/24/2024,Clove,Sunset,13,5,Win,Plat 3,5,30,12,8,299.8,15%,100%,5,1,4,Clove 30 - Sunset
17,8/25/2024,Jett,Haven,16,14,Win,Plat 3,5,31,20,2,187.4,16%,80%,6,2,3,Jett 31 - Haven
18,9/1/2024,Vyse,Haven,15,13,Win,Plat 3,5,30,13,7,184.4,15%,86%,3,2,1,Vyse 30 - Haven
19,9/3/2024,Raze,Lotus,13,15,Loss,Plat 3,5,32,22,4,215.6,16%,71%,4,3,5,Raze 32 - Lotus
20,9/10/2024,Brimstone,Bind,14,12,Win,Plat 3,5,30,18,6,189.8,21%,71%,0,1,5,Brim 30 - Bind
21,9/15/2024,Astra,Haven,11,13,Loss,Diamond 1,5,30,14,8,231.8,26%,83%,2,0,4,Astra 30 - Haven
22,9/29/2024,Raze,Icebox,13,8,Win,Plat 3,5,30,10,5,251.4,22%,90%,5,1,5,Raze 30 - Icebox [#2]
23,10/5/2024,Deadlock,Bind,13,9,Win,Diamond 1,5,30,11,9,235.2,18%,86%,1,2,3,Deadlock 30 - Bind
24,10/15/2024,Raze,Icebox,13,5,Win,Diamond 1,5,31,9,3,309.9,21%,89%,3,0,5,Raze 31  - Icebox
25,10/19/2024,Jett,Abyss,13,15,Loss,Diamond 1,5,30,25,6,193.6,17%,77%,10,4,1,Jett 30 - Abyss
26,,,,,,,,,,,,,,,,,,
27,1/13/2025,Astra,Fracture,14,16,Loss,Plat 1,5,38,23,8,204.4,13%,83%,5,2,3,Astra 38 - Fracture
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,